Disease,Medicine,Side_Effects,Min_Age,Max_Age,Min_Weight,Max_Weight,Min_BP,Max_BP,Alcohol_Consumption,Pregnant,Allergies,Current_Medications,Blood_Group,Effectiveness_1_10
Bronchitis,Ibuprofen,"Nausea, Headache, Dizziness",15,76,27,96,100,134,Avoid,Yes,Food Allergy,None,A+,7
Leukemia,Amoxicillin,"Nausea, Headache, Dizziness",7,70,26,101,100,131,Avoid,No,None,"None,Statins,Insulin,BP Meds",A+,10
Gout,Amoxicillin,"Nausea, Headache, Dizziness",13,73,40,106,94,127,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,10
Rheumatoid arthritis,Amoxicillin,"Nausea, Headache, Dizziness",4,52,31,87,96,120,Avoid,No,None,"None,Statins,Insulin,BP Meds",O-,6
HIV/AIDS,Tenofovir,"Nausea, Headache, Dizziness",8,67,34,99,80,163,Moderate,No,"Penicillin,Dust,None",None,O-,6
Stroke,Paracetamol,"Nausea, Headache, Dizziness",4,70,41,102,80,142,Moderate,No,None,"None,Statins,Insulin,BP Meds",O+,10
Depression,Fluoxetine,"Nausea, Headache, Dizziness",12,55,35,73,85,149,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,10
Influenza,Paracetamol,"Nausea, Headache, Dizziness",8,68,31,74,98,150,Avoid,No,None,"None,Statins,Insulin,BP Meds",O+,6
Acne,Amoxicillin,"Nausea, Headache, Dizziness",9,54,42,74,92,128,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",AB+,6
Dengue fever,Ibuprofen,"Nausea, Headache, Dizziness",14,81,45,106,93,169,Moderate,No,Food Allergy,None,O+,10
Hypertension,Amlodipine,"Nausea, Headache, Dizziness",13,68,28,98,92,148,Avoid,Yes,None,None,AB+,9
Chronic kidney disease,Amoxicillin,"Nausea, Headache, Dizziness",15,84,40,106,95,167,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",B-,9
Hepatitis C,Paracetamol,"Nausea, Headache, Dizziness",2,67,39,67,85,162,Moderate,Yes,None,None,B-,8
Zika virus,Ibuprofen,"Nausea, Headache, Dizziness",12,52,30,77,97,130,Avoid,Yes,"Penicillin,Dust,None",None,B+,6
GERD,Pantoprazole,"Nausea, Headache, Dizziness",7,83,42,92,91,163,Avoid,No,None,None,AB+,8
UTI,Ciprofloxacin,"Nausea, Headache, Dizziness",11,79,33,85,93,148,Moderate,No,"Penicillin,Dust,None",None,AB-,6
Ulcerative colitis,Ibuprofen,"Nausea, Headache, Dizziness",11,60,33,106,86,144,Avoid,No,"Penicillin,Dust,None",None,O+,9
Osteoporosis,Paracetamol,"Nausea, Headache, Dizziness",10,64,44,84,82,142,Moderate,Yes,Food Allergy,None,AB+,10
Acne,Ibuprofen,"Nausea, Headache, Dizziness",14,78,41,85,86,131,Low,No,"Penicillin,Dust,None",None,B+,9
Chronic kidney disease,Amoxicillin,"Nausea, Headache, Dizziness",12,59,29,64,91,123,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",B-,9
Alzheimer’s disease,Ibuprofen,"Nausea, Headache, Dizziness",2,61,27,110,95,154,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,9
Colon cancer,Amoxicillin,"Nausea, Headache, Dizziness",2,58,38,98,84,129,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",B+,9
Prostate cancer,Ibuprofen,"Nausea, Headache, Dizziness",9,63,34,96,98,153,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,8
Vitamin D deficiency,Amoxicillin,"Nausea, Headache, Dizziness",5,69,27,66,100,159,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,8
UTI,Nitrofurantoin,"Nausea, Headache, Dizziness",11,76,44,110,89,159,Moderate,Yes,None,None,A-,10
Anxiety disorder,Alprazolam,"Nausea, Headache, Dizziness",9,73,30,105,97,129,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O-,8
Stroke,Paracetamol,"Nausea, Headache, Dizziness",10,54,29,99,84,141,Low,No,None,None,A-,6
Dengue fever,Ibuprofen,"Nausea, Headache, Dizziness",10,59,30,63,93,121,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",A-,9
Anemia,Iron supplements,"Nausea, Headache, Dizziness",2,77,45,96,93,142,Moderate,Yes,Food Allergy,None,B-,9
Alzheimer’s disease,Paracetamol,"Nausea, Headache, Dizziness",4,60,40,78,93,146,Avoid,No,None,"None,Statins,Insulin,BP Meds",B+,9
Osteoarthritis,Ibuprofen,"Nausea, Headache, Dizziness",14,65,28,65,87,136,Avoid,Yes,"Penicillin,Dust,None",None,A-,10
Anxiety disorder,Buspirone,"Nausea, Headache, Dizziness",3,69,43,75,98,130,Low,No,None,None,O-,7
IBS,Paracetamol,"Nausea, Headache, Dizziness",11,63,27,93,94,126,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",B-,7
Dengue fever,Amoxicillin,"Nausea, Headache, Dizziness",6,74,32,101,88,155,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",O+,10
Osteoarthritis,Ibuprofen,"Nausea, Headache, Dizziness",1,55,32,69,99,155,Moderate,No,None,None,O+,10
Gonorrhea,Amoxicillin,"Nausea, Headache, Dizziness",2,83,32,99,90,136,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",A+,7
Gonorrhea,Paracetamol,"Nausea, Headache, Dizziness",9,77,45,77,97,160,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,9
Mumps,Ibuprofen,"Nausea, Headache, Dizziness",7,54,34,96,80,146,Avoid,No,None,None,A+,6
Gout,Amoxicillin,"Nausea, Headache, Dizziness",2,66,44,74,82,129,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,10
Ulcerative colitis,Paracetamol,"Nausea, Headache, Dizziness",12,59,25,93,82,155,Low,Yes,"Penicillin,Dust,None",None,B-,7
Zika virus,Ibuprofen,"Nausea, Headache, Dizziness",14,54,29,80,98,143,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",AB+,8
Cirrhosis,Paracetamol,"Nausea, Headache, Dizziness",13,67,43,109,98,124,Moderate,Yes,"Penicillin,Dust,None",None,O-,10
COPD,Ibuprofen,"Nausea, Headache, Dizziness",5,67,29,99,85,127,Moderate,No,"Penicillin,Dust,None",None,A+,7
Psoriasis,Ibuprofen,"Nausea, Headache, Dizziness",2,51,30,67,85,126,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,8
UTI,Nitrofurantoin,"Nausea, Headache, Dizziness",10,74,25,102,92,127,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,10
Diabetes mellitus type 2,Glimepiride,"Nausea, Headache, Dizziness",6,70,33,80,98,140,Moderate,No,Food Allergy,None,O-,8
Influenza,Paracetamol,"Nausea, Headache, Dizziness",14,84,30,70,87,158,Low,Yes,Food Allergy,None,B+,7
Chronic kidney disease,Amoxicillin,"Nausea, Headache, Dizziness",15,58,30,110,100,131,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",A+,8
Depression,Escitalopram,"Nausea, Headache, Dizziness",7,56,32,65,98,120,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",A+,6
Chronic kidney disease,Amoxicillin,"Nausea, Headache, Dizziness",2,62,45,103,80,150,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",A+,8
Ulcerative colitis,Amoxicillin,"Nausea, Headache, Dizziness",11,59,43,64,86,166,Low,Yes,"Penicillin,Dust,None",None,O+,9
Prostate cancer,Ibuprofen,"Nausea, Headache, Dizziness",2,51,37,66,83,149,Low,Yes,None,None,AB-,8
UTI,Amoxicillin,"Nausea, Headache, Dizziness",6,63,40,77,86,121,Moderate,No,None,"None,Statins,Insulin,BP Meds",O-,10
Tuberculosis,Amoxicillin,"Nausea, Headache, Dizziness",11,69,26,90,83,163,Avoid,Yes,"Penicillin,Dust,None",None,AB+,7
Common Cold,Cetirizine,"Nausea, Headache, Dizziness",4,68,27,90,84,160,Moderate,Yes,"Penicillin,Dust,None",None,B-,9
Endometriosis,Ibuprofen,"Nausea, Headache, Dizziness",9,64,45,86,85,148,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,6
Rabies,Ibuprofen,"Nausea, Headache, Dizziness",4,85,35,81,92,149,Low,No,"Penicillin,Dust,None",None,AB-,6
Leukemia,Amoxicillin,"Nausea, Headache, Dizziness",3,63,38,64,92,135,Avoid,Yes,"Penicillin,Dust,None",None,O+,8
Chikungunya,Ibuprofen,"Nausea, Headache, Dizziness",12,56,25,77,93,127,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB+,9
Psoriasis,Ibuprofen,"Nausea, Headache, Dizziness",6,70,43,108,97,158,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",AB+,10
Gonorrhea,Amoxicillin,"Nausea, Headache, Dizziness",4,60,37,74,89,149,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,10
Gout,Amoxicillin,"Nausea, Headache, Dizziness",2,83,42,89,100,144,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",AB-,7
Anxiety disorder,Buspirone,"Nausea, Headache, Dizziness",13,78,34,102,82,156,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",A-,8
Acne,Ibuprofen,"Nausea, Headache, Dizziness",13,68,37,97,80,162,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",O-,6
Acne,Paracetamol,"Nausea, Headache, Dizziness",11,66,36,90,81,150,Low,Yes,Food Allergy,None,O-,9
Mumps,Paracetamol,"Nausea, Headache, Dizziness",6,69,40,67,94,140,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,9
Leukemia,Amoxicillin,"Nausea, Headache, Dizziness",6,62,40,78,88,146,Low,Yes,"Penicillin,Dust,None",None,A+,8
Heart attack,Clopidogrel,"Nausea, Headache, Dizziness",14,84,29,105,82,126,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,8
Anemia,Iron supplements,"Nausea, Headache, Dizziness",2,59,36,84,95,154,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",O-,10
Heart attack,Clopidogrel,"Nausea, Headache, Dizziness",3,84,32,95,83,147,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",A-,6
Psoriasis,Paracetamol,"Nausea, Headache, Dizziness",1,55,44,68,96,158,Moderate,Yes,None,None,B-,8
Migraine,Amoxicillin,"Nausea, Headache, Dizziness",7,57,42,93,89,159,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,7
Vitamin D deficiency,Paracetamol,"Nausea, Headache, Dizziness",5,81,34,75,90,124,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,10
UTI,Amoxicillin,"Nausea, Headache, Dizziness",12,66,43,96,87,132,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,8
GERD,Pantoprazole,"Nausea, Headache, Dizziness",15,71,34,85,88,157,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",A+,6
Epilepsy,Ibuprofen,"Nausea, Headache, Dizziness",5,67,31,101,91,146,Avoid,No,"Penicillin,Dust,None",None,B-,6
Chronic kidney disease,Ibuprofen,"Nausea, Headache, Dizziness",11,68,43,80,87,121,Avoid,Yes,Food Allergy,None,A+,8
Epilepsy,Ibuprofen,"Nausea, Headache, Dizziness",11,57,44,69,93,157,Low,No,None,"None,Statins,Insulin,BP Meds",B+,10
Tuberculosis,Amoxicillin,"Nausea, Headache, Dizziness",1,70,27,72,91,151,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,7
Zika virus,Amoxicillin,"Nausea, Headache, Dizziness",15,62,36,109,86,136,Avoid,No,"Penicillin,Dust,None",None,O-,6
Asthma,Budesonide,"Nausea, Headache, Dizziness",10,75,28,97,98,122,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,8
Cirrhosis,Ibuprofen,"Nausea, Headache, Dizziness",5,73,26,80,82,155,Low,Yes,None,"None,Statins,Insulin,BP Meds",A-,6
Hypertension,Losartan,"Nausea, Headache, Dizziness",14,66,40,99,87,152,Low,Yes,None,"None,Statins,Insulin,BP Meds",AB-,10
Dengue fever,Paracetamol,"Nausea, Headache, Dizziness",3,62,25,62,99,139,Low,No,None,None,B-,6
COVID-19,Dexamethasone,"Nausea, Headache, Dizziness",13,84,27,94,92,138,Moderate,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,10
Common Cold,Phenylephrine,"Nausea, Headache, Dizziness",3,75,33,80,100,135,Avoid,No,Food Allergy,None,B-,10
Leukemia,Paracetamol,"Nausea, Headache, Dizziness",14,77,45,102,94,164,Avoid,No,Food Allergy,None,O+,10
Stroke,Amoxicillin,"Nausea, Headache, Dizziness",9,64,26,81,80,155,Moderate,Yes,None,None,AB-,6
Breast cancer,Doxorubicin,"Nausea, Headache, Dizziness",6,70,30,75,92,165,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,7
PCOS,Ibuprofen,"Nausea, Headache, Dizziness",8,75,29,64,95,138,Low,Yes,Food Allergy,None,B+,10
Colon cancer,Ibuprofen,"Nausea, Headache, Dizziness",4,75,38,70,97,165,Avoid,No,None,None,A-,10
COVID-19,Dexamethasone,"Nausea, Headache, Dizziness",3,58,27,67,99,150,Low,Yes,None,None,A+,7
Typhoid,Cefixime,"Nausea, Headache, Dizziness",11,77,37,103,100,146,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,6
Mumps,Amoxicillin,"Nausea, Headache, Dizziness",13,82,34,84,81,135,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",AB+,10
Malaria,Chloroquine,"Nausea, Headache, Dizziness",13,52,28,97,93,163,Moderate,Yes,"Penicillin,Dust,None",None,B-,6
Mumps,Paracetamol,"Nausea, Headache, Dizziness",6,83,26,70,90,121,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",A+,6
Tuberculosis,Ibuprofen,"Nausea, Headache, Dizziness",6,68,28,108,96,166,Moderate,No,None,None,O+,6
Syphilis,Ibuprofen,"Nausea, Headache, Dizziness",9,64,29,67,90,153,Moderate,No,None,"None,Statins,Insulin,BP Meds",O-,6
Typhoid,Cefixime,"Nausea, Headache, Dizziness",3,81,26,82,80,169,Moderate,No,None,"None,Statins,Insulin,BP Meds",AB-,8
Lymphoma,Paracetamol,"Nausea, Headache, Dizziness",1,55,35,96,93,134,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,6
Eczema,Amoxicillin,"Nausea, Headache, Dizziness",14,69,32,99,82,132,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",B+,6
Malaria,Chloroquine,"Nausea, Headache, Dizziness",10,78,42,98,98,143,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,7
Hyperthyroidism,Methimazole,"Nausea, Headache, Dizziness",2,56,43,108,97,168,Low,Yes,Food Allergy,None,O+,7
Parkinson’s disease,Paracetamol,"Nausea, Headache, Dizziness",10,52,25,86,83,143,Moderate,No,None,None,A+,10
HIV/AIDS,Tenofovir,"Nausea, Headache, Dizziness",10,54,34,105,80,124,Low,No,Food Allergy,None,B-,10
Chikungunya,Ibuprofen,"Nausea, Headache, Dizziness",14,59,37,99,87,135,Low,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,10
Vitamin D deficiency,Ibuprofen,"Nausea, Headache, Dizziness",1,63,39,70,91,125,Low,Yes,None,"None,Statins,Insulin,BP Meds",A-,6
Common Cold,Paracetamol,"Nausea, Headache, Dizziness",1,75,28,100,98,143,Low,Yes,None,None,A-,8
Breast cancer,Tamoxifen,"Nausea, Headache, Dizziness",15,83,27,108,86,165,Moderate,No,Food Allergy,None,B+,7
Rheumatoid arthritis,Ibuprofen,"Nausea, Headache, Dizziness",3,59,29,74,92,132,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O+,7
Hepatitis B,Ibuprofen,"Nausea, Headache, Dizziness",9,76,41,84,91,160,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",O+,7
Dengue fever,Paracetamol,"Nausea, Headache, Dizziness",14,70,40,81,82,136,Low,Yes,"Penicillin,Dust,None",None,AB+,7
Osteoarthritis,Paracetamol,"Nausea, Headache, Dizziness",15,63,35,105,99,167,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,8
Obesity,Ibuprofen,"Nausea, Headache, Dizziness",15,82,36,66,87,130,Moderate,Yes,None,None,O+,10
Leukemia,Amoxicillin,"Nausea, Headache, Dizziness",15,65,35,90,95,142,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,10
Influenza,Zanamivir,"Nausea, Headache, Dizziness",7,68,34,61,88,164,Low,Yes,Food Allergy,None,A-,8
Gout,Ibuprofen,"Nausea, Headache, Dizziness",5,64,30,88,86,156,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",B+,8
Depression,Fluoxetine,"Nausea, Headache, Dizziness",13,82,33,106,80,131,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,6
Zika virus,Paracetamol,"Nausea, Headache, Dizziness",3,51,31,97,84,147,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,6
Ulcerative colitis,Ibuprofen,"Nausea, Headache, Dizziness",3,74,34,78,82,124,Moderate,No,None,"None,Statins,Insulin,BP Meds",O-,9
PCOS,Paracetamol,"Nausea, Headache, Dizziness",3,55,29,106,90,164,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",AB+,10
Malnutrition,Paracetamol,"Nausea, Headache, Dizziness",7,54,33,79,98,128,Moderate,No,None,"None,Statins,Insulin,BP Meds",O+,7
Pneumonia,Amoxicillin,"Nausea, Headache, Dizziness",4,61,36,101,99,157,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB+,7
Dengue fever,Amoxicillin,"Nausea, Headache, Dizziness",8,63,35,83,83,133,Avoid,Yes,Food Allergy,None,O-,9
Osteoporosis,Ibuprofen,"Nausea, Headache, Dizziness",7,50,39,93,84,143,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",B-,7
Chickenpox,Amoxicillin,"Nausea, Headache, Dizziness",15,53,35,62,96,139,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B-,9
Vitamin D deficiency,Ibuprofen,"Nausea, Headache, Dizziness",11,55,43,106,93,120,Avoid,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A+,10
Mumps,Ibuprofen,"Nausea, Headache, Dizziness",3,78,35,106,94,144,Avoid,Yes,"Penicillin,Dust,None",None,AB+,6
UTI,Nitrofurantoin,"Nausea, Headache, Dizziness",4,75,27,63,89,144,Low,Yes,"Penicillin,Dust,None",None,AB+,8
Zika virus,Paracetamol,"Nausea, Headache, Dizziness",2,71,28,60,95,154,Low,Yes,"Penicillin,Dust,None",None,AB+,7
Leukemia,Ibuprofen,"Nausea, Headache, Dizziness",2,74,37,97,97,142,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,9
Asthma,Montelukast,"Nausea, Headache, Dizziness",2,74,36,80,80,139,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",A+,10
Heart attack,Heparin,"Nausea, Headache, Dizziness",6,63,27,60,86,120,Moderate,Yes,"Penicillin,Dust,None",None,O-,8
Stroke,Amoxicillin,"Nausea, Headache, Dizziness",2,51,26,80,98,121,Avoid,No,None,None,A-,8
Breast cancer,Doxorubicin,"Nausea, Headache, Dizziness",2,82,42,98,100,160,Low,No,None,None,O+,6
Vitamin B12 deficiency,Ibuprofen,"Nausea, Headache, Dizziness",1,65,34,73,92,169,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A+,9
Malnutrition,Paracetamol,"Nausea, Headache, Dizziness",1,50,39,88,88,156,Avoid,Yes,None,None,A-,9
Gout,Amoxicillin,"Nausea, Headache, Dizziness",6,65,26,104,93,131,Low,No,None,None,O-,6
UTI,Ciprofloxacin,"Nausea, Headache, Dizziness",4,82,33,66,99,153,Moderate,Yes,None,None,B+,10
Osteoarthritis,Paracetamol,"Nausea, Headache, Dizziness",1,74,25,75,87,152,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",O+,7
Malnutrition,Ibuprofen,"Nausea, Headache, Dizziness",7,65,43,64,100,170,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",A+,7
Malnutrition,Ibuprofen,"Nausea, Headache, Dizziness",6,68,25,75,100,157,Avoid,No,"Penicillin,Dust,None",None,B-,6
Cirrhosis,Amoxicillin,"Nausea, Headache, Dizziness",3,84,31,74,82,129,Low,No,Food Allergy,None,B-,9
Osteoarthritis,Diclofenac,"Nausea, Headache, Dizziness",9,63,28,107,90,154,Avoid,Yes,Food Allergy,None,B-,7
Parkinson’s disease,Paracetamol,"Nausea, Headache, Dizziness",1,84,39,109,91,166,Avoid,No,None,"None,Statins,Insulin,BP Meds",B-,6
Rheumatoid arthritis,Paracetamol,"Nausea, Headache, Dizziness",12,82,42,98,96,136,Avoid,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,9
Hepatitis B,Amoxicillin,"Nausea, Headache, Dizziness",1,66,34,87,93,120,Moderate,Yes,Food Allergy,None,AB+,6
COVID-19,Dexamethasone,"Nausea, Headache, Dizziness",6,63,29,75,80,149,Moderate,No,Food Allergy,None,B-,10
Typhoid,Azithromycin,"Nausea, Headache, Dizziness",11,81,44,110,96,147,Avoid,Yes,None,None,B+,6
Leukemia,Paracetamol,"Nausea, Headache, Dizziness",6,60,30,68,97,135,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",A+,8
Zika virus,Amoxicillin,"Nausea, Headache, Dizziness",6,75,44,101,80,165,Moderate,No,Food Allergy,None,A-,8
Dengue fever,Paracetamol,"Nausea, Headache, Dizziness",7,60,41,110,83,128,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",A-,7
Lung cancer,Amoxicillin,"Nausea, Headache, Dizziness",2,71,32,90,88,131,Low,No,Food Allergy,None,O+,6
Bronchitis,Paracetamol,"Nausea, Headache, Dizziness",7,73,31,65,87,141,Moderate,No,None,None,B+,8
Anemia,Iron supplements,"Nausea, Headache, Dizziness",15,69,43,85,80,142,Low,No,"Penicillin,Dust,None",None,A-,7
Acne,Amoxicillin,"Nausea, Headache, Dizziness",2,59,41,75,95,129,Avoid,No,Food Allergy,None,O+,9
UTI,Amoxicillin,"Nausea, Headache, Dizziness",10,81,26,67,95,159,Low,No,None,None,O+,7
Gout,Paracetamol,"Nausea, Headache, Dizziness",3,52,35,100,90,151,Avoid,Yes,"Penicillin,Dust,None",None,B+,10
Chikungunya,Ibuprofen,"Nausea, Headache, Dizziness",15,60,39,65,100,147,Low,Yes,"Penicillin,Dust,None",None,B+,10
Breast cancer,Tamoxifen,"Nausea, Headache, Dizziness",10,78,36,98,91,158,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,6
Hepatitis B,Amoxicillin,"Nausea, Headache, Dizziness",1,51,36,92,92,139,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,9
Hepatitis B,Ibuprofen,"Nausea, Headache, Dizziness",1,81,26,107,99,150,Moderate,Yes,None,None,A-,9
Pneumonia,Amoxicillin,"Nausea, Headache, Dizziness",12,64,26,107,99,152,Moderate,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,6
Malnutrition,Paracetamol,"Nausea, Headache, Dizziness",5,81,44,70,84,151,Low,Yes,None,None,B+,9
Zika virus,Paracetamol,"Nausea, Headache, Dizziness",13,74,39,104,98,134,Low,No,None,None,A+,8
Anemia,Folic acid,"Nausea, Headache, Dizziness",15,68,35,108,94,122,Low,Yes,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,10
Depression,Fluoxetine,"Nausea, Headache, Dizziness",7,66,36,76,81,123,Low,Yes,None,None,AB-,6
Hyperthyroidism,Methimazole,"Nausea, Headache, Dizziness",10,78,35,80,92,159,Low,No,None,"None,Statins,Insulin,BP Meds",B+,9
Crohn’s disease,Ibuprofen,"Nausea, Headache, Dizziness",10,76,31,106,83,129,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",B-,8
Zika virus,Paracetamol,"Nausea, Headache, Dizziness",14,76,44,105,96,156,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",O+,9
IBS,Paracetamol,"Nausea, Headache, Dizziness",6,79,39,108,96,136,Moderate,Yes,None,None,AB+,8
Endometriosis,Paracetamol,"Nausea, Headache, Dizziness",14,71,42,62,80,145,Moderate,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,8
Coronary artery disease,Ibuprofen,"Nausea, Headache, Dizziness",12,80,33,63,93,166,Moderate,Yes,"Penicillin,Dust,None",None,A+,9
Gonorrhea,Ibuprofen,"Nausea, Headache, Dizziness",2,57,27,71,83,132,Low,Yes,Food Allergy,None,A-,7
Tuberculosis,Paracetamol,"Nausea, Headache, Dizziness",12,85,38,94,100,161,Low,No,Food Allergy,None,AB+,10
Parkinson’s disease,Amoxicillin,"Nausea, Headache, Dizziness",11,78,45,74,92,155,Avoid,Yes,None,None,AB-,10
Hypertension,Enalapril,"Nausea, Headache, Dizziness",6,59,36,93,86,162,Moderate,No,None,None,AB+,6
Measles,Amoxicillin,"Nausea, Headache, Dizziness",11,65,30,91,80,134,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",AB-,8
Hypertension,Losartan,"Nausea, Headache, Dizziness",9,57,34,95,82,154,Low,No,None,"None,Statins,Insulin,BP Meds",A-,7
Common Cold,Cetirizine,"Nausea, Headache, Dizziness",7,71,32,65,80,132,Moderate,Yes,None,None,A-,9
Hypertension,Amlodipine,"Nausea, Headache, Dizziness",14,77,44,76,99,157,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",O+,10
Heart attack,Aspirin,"Nausea, Headache, Dizziness",6,53,37,104,93,153,Moderate,No,"Penicillin,Dust,None",None,B+,9
Crohn’s disease,Paracetamol,"Nausea, Headache, Dizziness",2,77,32,98,83,167,Avoid,Yes,None,"None,Statins,Insulin,BP Meds",AB+,6
Lymphoma,Amoxicillin,"Nausea, Headache, Dizziness",6,68,25,105,80,146,Avoid,Yes,"Penicillin,Dust,None",None,O+,9
Leukemia,Paracetamol,"Nausea, Headache, Dizziness",12,82,45,63,93,161,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,9
COPD,Amoxicillin,"Nausea, Headache, Dizziness",5,52,35,81,94,168,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",B-,6
Alzheimer’s disease,Ibuprofen,"Nausea, Headache, Dizziness",4,81,36,67,89,142,Low,Yes,None,None,B+,9
Anemia,Iron supplements,"Nausea, Headache, Dizziness",10,84,38,98,93,161,Low,No,"Penicillin,Dust,None",None,A-,8
Mumps,Paracetamol,"Nausea, Headache, Dizziness",15,79,35,85,90,145,Moderate,No,None,"None,Statins,Insulin,BP Meds",AB-,7
Osteoporosis,Paracetamol,"Nausea, Headache, Dizziness",7,54,44,107,83,138,Moderate,Yes,None,None,B-,6
PCOS,Amoxicillin,"Nausea, Headache, Dizziness",4,75,35,63,94,155,Low,Yes,Food Allergy,"None,Statins,Insulin,BP Meds",B-,10
Pneumonia,Paracetamol,"Nausea, Headache, Dizziness",3,60,26,60,99,149,Low,No,"Penicillin,Dust,None",None,O+,8
