Disease,Medicine,Side_Effects,Min_Age,Max_Age,Min_Weight_kg,Max_Weight_kg,Min_BP_mmHg,Max_BP_mmHg,Alcohol_Consumption,Pregnant,Allergies,Current_Medications,Blood_Group,Effectiveness_1_10
Thyroid Disorder,Propylthiouracil,Constipation,9,73,32,87,84,141,No,Yes,Dust,Multivitamin,AB+,5
Allergy,Fexofenadine,Constipation,18,51,43,108,95,123,Yes,Yes,Peanuts,Vitamin D,AB+,7
Thyroid Disorder,Carbimazole,Headache,3,49,30,105,97,169,Occasional,Not Applicable,Sulfa,Multivitamin,AB-,6
Diabetes,Metformin,Dizziness,18,50,47,94,93,163,Yes,Not Applicable,Peanuts,Iron Supplement,O+,8
Hypertension,Losartan,Headache,11,82,43,103,84,125,Yes,No,None,Multivitamin,AB-,4
Liver Disease,Lactulose,Headache,13,46,34,108,96,121,Yes,Yes,None,Calcium,O-,6
Depression,Sertraline,Headache,8,73,46,101,87,153,Occasional,Not Applicable,Penicillin,Multivitamin,B+,4
Allergy,Fexofenadine,Dry Mouth,18,65,38,80,84,149,Yes,Yes,Penicillin,Calcium,O+,8
Arthritis,Ibuprofen,Dizziness,15,61,36,78,100,159,No,Yes,Pollen,Calcium,B-,10
Migraine,Sumatriptan,Diarrhea,12,58,49,99,80,153,Yes,Not Applicable,None,None,O+,6
Obesity,Phentermine,Headache,4,87,33,86,95,147,Occasional,Yes,Dust,Vitamin D,A-,4
Obesity,Orlistat,Nausea,3,86,45,83,95,133,Occasional,Yes,None,Calcium,AB+,6
PCOS,Letrozole,Rash,14,65,35,92,99,178,No,No,Sulfa,Vitamin D,O-,10
Typhoid,Azithromycin,Headache,6,63,33,88,83,132,Occasional,No,Sulfa,None,B-,7
Asthma,Montelukast,Rash,5,54,46,107,92,145,Occasional,Yes,Peanuts,None,A+,8
Obesity,Orlistat,Sleepiness,4,62,37,61,92,126,Yes,No,Pollen,None,AB-,8
Anxiety,Buspirone,Dizziness,3,72,30,66,91,172,Yes,Yes,Dust,Multivitamin,AB+,7
Heart Disease,Atorvastatin,Vomiting,11,78,47,75,94,143,Occasional,Not Applicable,Pollen,Multivitamin,O+,7
Liver Disease,Lactulose,Constipation,9,62,40,87,88,142,No,Yes,Sulfa,Calcium,B-,9
Obesity,Phentermine,Fatigue,6,46,33,112,97,124,No,Not Applicable,Penicillin,Multivitamin,A+,10
Typhoid,Ciprofloxacin,Diarrhea,2,52,49,95,87,137,No,Yes,Sulfa,Vitamin D,AB+,10
Allergy,Loratadine,Dizziness,16,47,32,87,83,145,Yes,Not Applicable,None,Vitamin D,A+,9
Diabetes,Insulin,Nausea,4,88,44,82,88,153,No,No,Pollen,Vitamin D,A+,5
Typhoid,Ciprofloxacin,Nausea,8,84,30,109,85,124,Yes,Not Applicable,Pollen,Calcium,A-,8
PCOS,Clomiphene,Dizziness,4,49,44,111,87,157,Occasional,No,Sulfa,Multivitamin,AB+,10
Kidney Disease,Calcitriol,Fatigue,8,78,33,82,98,145,Yes,No,Penicillin,Calcium,AB-,8
Liver Disease,Lactulose,Vomiting,10,54,38,77,88,123,No,No,Peanuts,Vitamin D,O+,5
Diabetes,Glimepiride,Constipation,16,71,32,117,86,134,Yes,No,Sulfa,Vitamin D,A-,5
Kidney Disease,Furosemide,Fatigue,1,77,41,97,84,145,Yes,Not Applicable,None,None,A+,9
COVID-19,Favipiravir,Rash,4,81,42,106,96,140,Occasional,Not Applicable,Peanuts,None,AB-,8
Obesity,Orlistat,Rash,6,66,44,86,82,154,Yes,Yes,Peanuts,Multivitamin,B-,7
Obesity,Orlistat,Nausea,3,55,34,106,82,132,Occasional,Yes,Sulfa,Multivitamin,AB+,9
Asthma,Budesonide,Dry Mouth,9,44,50,80,87,155,No,No,Peanuts,Iron Supplement,AB+,10
Obesity,Phentermine,Diarrhea,14,86,41,81,96,177,Occasional,Not Applicable,Penicillin,Vitamin D,B-,7
Arthritis,Diclofenac,Fatigue,16,73,38,87,92,139,Occasional,No,Dust,Vitamin D,A-,9
Migraine,Sumatriptan,Vomiting,8,62,38,120,97,149,No,Yes,Peanuts,Calcium,A+,5
PCOS,Metformin,Dizziness,11,82,39,104,91,148,No,Yes,Sulfa,Multivitamin,O+,10
Asthma,Montelukast,Fatigue,10,52,41,102,92,123,Occasional,Not Applicable,Dust,Iron Supplement,B+,7
Liver Disease,Ursodeoxycholic Acid,Dizziness,12,56,34,64,82,128,Yes,Yes,Peanuts,Vitamin D,A-,8
Heart Disease,Atorvastatin,Dry Mouth,17,90,35,77,91,155,Yes,Yes,Sulfa,Iron Supplement,B+,9
Obesity,Liraglutide,Headache,14,82,49,100,93,157,Yes,Not Applicable,Sulfa,Vitamin D,O+,8
PCOS,Clomiphene,Rash,6,54,38,113,80,151,Yes,No,Sulfa,None,B-,8
Anxiety,Clonazepam,Fatigue,13,44,31,115,82,125,Occasional,No,Penicillin,Vitamin D,AB+,8
Obesity,Orlistat,Nausea,13,45,35,69,89,151,Occasional,Not Applicable,None,Calcium,A+,4
Cancer,Cisplatin,Vomiting,10,47,45,72,92,165,Occasional,Yes,Dust,Multivitamin,AB+,4
Arthritis,Diclofenac,Sleepiness,18,78,49,113,95,177,Yes,Yes,Sulfa,Multivitamin,A-,4
Migraine,Topiramate,Sleepiness,15,56,41,63,88,154,Yes,Not Applicable,Pollen,Multivitamin,A-,8
PCOS,Letrozole,Diarrhea,17,53,39,120,94,123,No,Not Applicable,Sulfa,Multivitamin,O-,6
Flu,Oseltamivir,Diarrhea,4,51,36,95,91,176,No,No,Penicillin,Iron Supplement,AB+,7
Anxiety,Alprazolam,Sleepiness,13,66,43,116,82,177,No,Not Applicable,None,Vitamin D,A-,4
Diabetes,Insulin,Headache,11,42,45,118,98,136,Occasional,Not Applicable,Sulfa,Calcium,AB+,10
Diabetes,Glimepiride,Dry Mouth,16,86,39,91,84,166,Occasional,Not Applicable,Pollen,None,B-,10
Asthma,Budesonide,Sleepiness,13,43,47,79,96,125,No,No,None,Vitamin D,A-,10
Diabetes,Glimepiride,Vomiting,6,75,43,109,87,138,No,Not Applicable,Pollen,Calcium,A-,7
Kidney Disease,Calcitriol,Diarrhea,18,87,49,112,82,135,Yes,Not Applicable,Penicillin,None,B-,10
Kidney Disease,Erythropoietin,Sleepiness,16,86,50,116,85,134,No,Not Applicable,Peanuts,None,AB-,10
Flu,Ibuprofen,Dry Mouth,6,76,50,95,91,144,Yes,Yes,Sulfa,Calcium,A+,6
Kidney Disease,Calcitriol,Nausea,7,48,38,90,95,134,Yes,No,None,Multivitamin,B-,5
Obesity,Phentermine,Sleepiness,12,44,38,111,88,160,No,No,Peanuts,Iron Supplement,A-,5
Heart Disease,Aspirin,Vomiting,1,62,48,90,90,169,Yes,Not Applicable,Pollen,Calcium,AB+,9
Arthritis,Methotrexate,Headache,9,72,39,74,85,138,Yes,Yes,Pollen,Vitamin D,O-,7
Depression,Escitalopram,Diarrhea,2,62,40,110,80,122,Occasional,Yes,None,None,A-,4
Arthritis,Diclofenac,Constipation,15,71,35,95,94,169,Occasional,Yes,Sulfa,Calcium,A+,10
Kidney Disease,Furosemide,Headache,12,86,31,76,83,145,Occasional,No,Peanuts,Calcium,A-,9
Tuberculosis,Rifampicin,Fatigue,11,67,46,65,83,147,Yes,No,Sulfa,Calcium,A-,5
Allergy,Loratadine,Dry Mouth,17,48,44,87,92,180,Occasional,Not Applicable,Dust,Iron Supplement,O-,5
Allergy,Cetirizine,Nausea,4,54,45,73,86,138,Occasional,Not Applicable,Dust,Vitamin D,B+,10
Migraine,Sumatriptan,Fatigue,11,52,37,73,93,169,Yes,Yes,Sulfa,Multivitamin,A+,6
Tuberculosis,Ethambutol,Rash,13,51,47,94,100,136,Yes,Not Applicable,None,Vitamin D,A-,7
Hypertension,Losartan,Diarrhea,5,79,35,105,87,141,Yes,No,Sulfa,None,AB+,5
COVID-19,Favipiravir,Sleepiness,14,60,38,75,91,159,Yes,Yes,Pollen,Multivitamin,A+,4
Asthma,Salbutamol,Dizziness,6,67,48,72,80,127,Occasional,Not Applicable,Dust,Vitamin D,AB-,6
PCOS,Letrozole,Rash,16,49,35,116,98,123,No,Yes,Pollen,None,B+,8
Cancer,Cisplatin,Rash,4,63,31,98,83,125,No,Yes,None,None,AB+,10
Allergy,Cetirizine,Constipation,5,45,50,102,86,124,Occasional,Yes,Penicillin,None,A+,4
COVID-19,Paracetamol,Dizziness,3,80,41,98,100,142,Yes,Not Applicable,None,Multivitamin,A+,5
Flu,Oseltamivir,Dizziness,6,55,40,61,97,149,Occasional,Yes,None,None,AB+,7
Tuberculosis,Isoniazid,Headache,15,82,48,92,83,141,Yes,No,Sulfa,Iron Supplement,O-,5
Asthma,Budesonide,Dizziness,17,74,50,91,92,169,No,Yes,Pollen,Iron Supplement,AB-,7
Hypertension,Amlodipine,Nausea,14,63,44,73,89,151,No,Yes,Peanuts,Vitamin D,B-,7
Hypertension,Atenolol,Constipation,8,65,39,65,88,122,Yes,Yes,Dust,None,B+,8
Typhoid,Cefixime,Nausea,13,85,33,76,100,156,Yes,No,Sulfa,None,B+,10
Typhoid,Azithromycin,Vomiting,13,51,48,115,85,132,Occasional,No,Peanuts,None,B+,8
Tuberculosis,Isoniazid,Headache,9,58,45,115,98,152,No,Yes,Peanuts,Vitamin D,B+,7
Arthritis,Diclofenac,Fatigue,12,90,47,71,92,176,Occasional,Yes,Sulfa,Vitamin D,A-,4
Obesity,Orlistat,Rash,1,53,37,117,82,171,No,No,Pollen,Iron Supplement,AB-,9
Thyroid Disorder,Levothyroxine,Nausea,8,79,46,71,97,172,Yes,Not Applicable,Penicillin,Multivitamin,B-,7
Tuberculosis,Rifampicin,Rash,3,88,37,78,85,141,Yes,Yes,Dust,Calcium,AB+,6
Hypertension,Atenolol,Headache,15,89,40,110,92,173,Yes,No,Pollen,Vitamin D,O-,8
Allergy,Fexofenadine,Vomiting,6,41,34,112,98,156,Yes,Yes,Sulfa,Multivitamin,O+,4
Heart Disease,Clopidogrel,Diarrhea,7,43,34,114,90,168,No,No,Peanuts,Multivitamin,A-,7
Hypertension,Losartan,Constipation,3,57,38,106,83,140,No,Not Applicable,Dust,Vitamin D,B+,4
PCOS,Metformin,Dry Mouth,8,60,39,71,94,133,Occasional,No,None,Calcium,B-,10
PCOS,Clomiphene,Dizziness,16,86,37,116,85,171,Yes,Yes,Peanuts,Vitamin D,AB+,8
Obesity,Orlistat,Fatigue,7,62,40,103,92,140,Occasional,Not Applicable,Dust,Iron Supplement,AB-,5
Tuberculosis,Isoniazid,Diarrhea,11,54,42,104,89,127,Occasional,Not Applicable,Penicillin,Vitamin D,AB-,5
Cancer,Paclitaxel,Dizziness,4,66,49,84,95,138,No,Yes,Peanuts,Vitamin D,B-,8
COVID-19,Favipiravir,Diarrhea,6,61,41,113,83,149,Yes,Yes,Peanuts,None,A-,6
Typhoid,Ciprofloxacin,Dizziness,7,74,34,87,84,155,No,No,Peanuts,Iron Supplement,A+,6
Liver Disease,Rifaximin,Dizziness,1,78,40,91,94,175,Occasional,Not Applicable,Pollen,Multivitamin,O-,10
Malaria,Primaquine,Vomiting,16,89,49,90,89,174,Occasional,Yes,Dust,Multivitamin,AB-,7
Cancer,Paclitaxel,Constipation,11,75,44,68,81,141,Yes,Not Applicable,Sulfa,None,B-,9
Asthma,Salbutamol,Constipation,7,81,47,97,100,172,Yes,Not Applicable,Peanuts,Multivitamin,A+,9
Depression,Escitalopram,Diarrhea,16,73,42,67,88,159,No,No,None,Calcium,AB+,7
Migraine,Topiramate,Headache,17,47,33,81,84,158,Yes,No,Pollen,Multivitamin,AB-,6
Thyroid Disorder,Carbimazole,Dry Mouth,3,52,50,64,92,136,Yes,Yes,Penicillin,Vitamin D,A-,9
Cancer,Cisplatin,Dry Mouth,18,79,44,109,100,125,Occasional,Not Applicable,Dust,Multivitamin,A+,7
Heart Disease,Aspirin,Dry Mouth,10,56,36,106,92,174,No,Yes,Sulfa,None,B-,8
Allergy,Cetirizine,Dry Mouth,17,47,35,107,94,169,No,No,Pollen,Multivitamin,B+,8
Tuberculosis,Rifampicin,Diarrhea,18,48,32,83,99,168,Occasional,No,None,None,O+,8
Anxiety,Alprazolam,Sleepiness,4,85,34,77,84,153,Occasional,Not Applicable,Penicillin,Vitamin D,O+,7
Typhoid,Azithromycin,Constipation,2,48,44,92,87,161,Yes,No,Dust,Calcium,O+,9
Cancer,Cisplatin,Constipation,15,62,33,94,81,155,Occasional,Yes,Sulfa,Vitamin D,O-,5
Typhoid,Azithromycin,Headache,4,43,49,85,93,141,Yes,No,Peanuts,Calcium,O-,5
Anxiety,Buspirone,Rash,11,46,47,94,90,146,No,Yes,None,Multivitamin,O-,7
COVID-19,Paracetamol,Nausea,16,71,39,90,94,150,Occasional,No,Penicillin,Vitamin D,O-,6
Hypertension,Losartan,Rash,4,78,35,111,98,179,Yes,Yes,Dust,Iron Supplement,O+,5
Anxiety,Clonazepam,Vomiting,14,68,32,111,99,133,Yes,Yes,Dust,Iron Supplement,B+,5
Anxiety,Alprazolam,Diarrhea,17,90,45,73,95,174,No,Not Applicable,Pollen,Iron Supplement,AB+,7
Kidney Disease,Calcitriol,Dry Mouth,3,79,39,70,80,125,Yes,Yes,None,Vitamin D,A-,6
Typhoid,Cefixime,Vomiting,1,89,38,62,100,174,No,Yes,Dust,None,AB+,10
Arthritis,Ibuprofen,Vomiting,3,54,49,114,96,136,Occasional,Not Applicable,Penicillin,Vitamin D,B-,9
Hypertension,Amlodipine,Dizziness,3,73,31,65,89,179,No,No,Sulfa,Vitamin D,O-,6
Depression,Fluoxetine,Dizziness,9,82,33,119,98,175,Yes,Not Applicable,Pollen,Iron Supplement,AB+,5
Heart Disease,Clopidogrel,Nausea,6,87,44,72,100,157,Occasional,No,Peanuts,Calcium,O-,7
Kidney Disease,Erythropoietin,Vomiting,10,89,37,105,92,154,Occasional,Yes,Pollen,Calcium,B-,5
Migraine,Sumatriptan,Rash,3,52,47,117,90,138,Yes,Yes,Dust,None,AB-,8
Thyroid Disorder,Carbimazole,Headache,16,61,41,113,83,164,Yes,No,Dust,Iron Supplement,O-,5
Malaria,Artemether,Dizziness,5,44,39,61,83,133,Yes,Not Applicable,Sulfa,Multivitamin,O-,9
Malaria,Artemether,Dry Mouth,6,90,35,74,89,164,Occasional,Not Applicable,Sulfa,None,AB-,6
Anxiety,Alprazolam,Headache,12,57,50,95,93,153,Yes,No,Dust,Vitamin D,B-,6
COVID-19,Favipiravir,Sleepiness,4,62,39,78,92,156,Yes,No,Peanuts,Calcium,O-,10
COVID-19,Remdesivir,Fatigue,3,77,39,109,96,179,Occasional,Yes,Sulfa,Multivitamin,A+,6
Malaria,Primaquine,Diarrhea,18,52,44,77,100,162,No,No,Peanuts,None,O+,5
Asthma,Montelukast,Dry Mouth,1,82,34,98,80,142,No,No,None,None,O-,7
Tuberculosis,Rifampicin,Constipation,7,75,30,86,92,152,No,Not Applicable,Pollen,Calcium,B-,7
Cancer,Cisplatin,Rash,5,56,32,94,89,136,No,No,Pollen,None,A+,6
Depression,Escitalopram,Dizziness,14,45,47,103,97,138,Occasional,No,Dust,Vitamin D,O-,7
Kidney Disease,Calcitriol,Dry Mouth,9,50,42,99,92,169,Yes,No,Peanuts,Iron Supplement,A-,5
COVID-19,Paracetamol,Nausea,15,43,50,69,97,174,Yes,No,Dust,Calcium,A-,6
Hypertension,Losartan,Rash,6,50,46,91,82,177,Yes,Not Applicable,Peanuts,Vitamin D,A-,6
Flu,Oseltamivir,Rash,7,76,50,83,83,178,Yes,Yes,None,Multivitamin,B-,10
Depression,Sertraline,Headache,3,78,50,99,90,166,No,No,Dust,Vitamin D,AB-,10
Cancer,Imatinib,Rash,10,59,46,108,88,159,Occasional,Not Applicable,Dust,Calcium,A+,5
Migraine,Sumatriptan,Dry Mouth,3,84,40,97,96,153,Yes,Not Applicable,Dust,Multivitamin,A-,5
COVID-19,Remdesivir,Rash,2,50,48,116,94,136,Occasional,Not Applicable,None,None,AB+,6
Typhoid,Ciprofloxacin,Vomiting,3,44,40,79,90,134,Yes,Yes,Peanuts,Iron Supplement,B+,5
Obesity,Orlistat,Diarrhea,12,52,49,81,87,156,Yes,Not Applicable,Dust,Calcium,O+,4
Liver Disease,Ursodeoxycholic Acid,Headache,18,57,42,64,83,131,Occasional,No,None,Vitamin D,AB-,5
Diabetes,Insulin,Nausea,3,72,38,78,91,130,Occasional,Yes,Penicillin,Iron Supplement,A+,8
Cancer,Imatinib,Rash,8,68,40,76,88,162,Yes,No,Penicillin,None,O-,9
Heart Disease,Clopidogrel,Headache,15,81,46,90,90,142,Occasional,Not Applicable,Sulfa,Iron Supplement,AB+,4
Typhoid,Azithromycin,Vomiting,4,75,36,77,95,145,Occasional,No,Dust,Calcium,A-,8
Tuberculosis,Isoniazid,Dry Mouth,15,47,47,64,98,170,Yes,Not Applicable,None,Vitamin D,A+,5
Heart Disease,Atorvastatin,Headache,6,41,36,112,84,146,No,No,None,Vitamin D,AB+,7
Hypertension,Losartan,Nausea,15,82,36,64,80,173,No,Yes,Penicillin,Vitamin D,B-,4
Tuberculosis,Rifampicin,Nausea,17,53,30,64,96,155,Occasional,Yes,Dust,Calcium,A+,7
Diabetes,Insulin,Fatigue,13,75,33,81,95,120,No,Not Applicable,Peanuts,None,B-,4
Hypertension,Atenolol,Headache,3,81,30,68,95,123,Yes,Not Applicable,None,Multivitamin,O+,9
Malaria,Chloroquine,Constipation,3,69,31,109,91,157,No,Yes,Sulfa,Multivitamin,O+,7
COVID-19,Remdesivir,Nausea,6,65,38,61,99,172,Yes,Not Applicable,Dust,Multivitamin,O-,6
Obesity,Orlistat,Fatigue,12,49,35,84,90,142,Occasional,Not Applicable,Penicillin,Multivitamin,B+,9
Migraine,Sumatriptan,Rash,3,75,35,110,95,127,No,Not Applicable,Dust,Multivitamin,AB+,8
Allergy,Cetirizine,Rash,4,76,49,88,80,172,Occasional,Not Applicable,Penicillin,Multivitamin,AB-,4
Malaria,Artemether,Sleepiness,7,59,33,108,96,173,No,Not Applicable,Penicillin,None,B-,7
PCOS,Metformin,Dizziness,6,53,50,94,88,168,No,Not Applicable,Peanuts,None,B+,10
Diabetes,Insulin,Vomiting,6,48,46,93,90,170,Yes,Yes,Peanuts,Multivitamin,O-,7
Migraine,Sumatriptan,Constipation,16,42,40,64,91,175,No,Yes,Peanuts,Iron Supplement,B-,10
Malaria,Primaquine,Nausea,17,43,47,107,96,173,Occasional,Not Applicable,None,Calcium,A-,4
Allergy,Fexofenadine,Rash,7,80,44,77,88,170,No,Not Applicable,Peanuts,Vitamin D,AB+,10
Cancer,Paclitaxel,Rash,5,40,45,72,90,167,No,No,Pollen,Multivitamin,AB+,6
Kidney Disease,Furosemide,Dizziness,5,81,38,75,86,173,No,Yes,Penicillin,Iron Supplement,AB+,4
Migraine,Propranolol,Headache,10,84,39,103,96,123,Occasional,Yes,Peanuts,Iron Supplement,O+,5
Liver Disease,Lactulose,Nausea,2,75,50,75,83,137,Yes,No,Pollen,Calcium,AB-,4
Flu,Paracetamol,Dry Mouth,8,61,39,87,88,141,Occasional,Yes,Penicillin,Multivitamin,B-,6
Cancer,Imatinib,Dry Mouth,2,78,42,82,92,152,Occasional,No,Dust,Multivitamin,A+,7
Liver Disease,Ursodeoxycholic Acid,Sleepiness,15,80,39,97,84,139,Yes,No,Peanuts,Multivitamin,A+,4
Migraine,Topiramate,Nausea,11,69,39,61,82,128,Occasional,Not Applicable,Sulfa,Vitamin D,O-,4
Migraine,Sumatriptan,Headache,1,70,37,120,87,164,No,Yes,Pollen,Multivitamin,O-,7
Depression,Escitalopram,Vomiting,6,56,30,113,96,156,No,Yes,Peanuts,Multivitamin,O+,8
Anxiety,Buspirone,Nausea,2,46,45,109,95,153,Yes,Yes,None,Vitamin D,A-,7
Thyroid Disorder,Carbimazole,Sleepiness,5,65,34,87,94,133,Occasional,Yes,Peanuts,Calcium,O+,5
Typhoid,Ciprofloxacin,Rash,3,55,46,112,99,161,Yes,No,Pollen,Vitamin D,B-,10
Allergy,Loratadine,Constipation,8,51,37,76,88,168,No,Yes,None,Multivitamin,B-,6
Flu,Oseltamivir,Dry Mouth,15,76,33,107,82,145,No,Not Applicable,Sulfa,Multivitamin,B-,4
Kidney Disease,Erythropoietin,Nausea,12,52,47,71,100,125,No,Yes,None,Iron Supplement,A+,9
Typhoid,Ciprofloxacin,Fatigue,15,73,34,76,81,163,Yes,Yes,Penicillin,Multivitamin,AB-,7
Arthritis,Diclofenac,Vomiting,10,50,49,99,84,162,No,Not Applicable,Dust,Multivitamin,B-,9
Typhoid,Azithromycin,Headache,7,50,34,91,97,122,Yes,Yes,Sulfa,Multivitamin,A+,7
Asthma,Salbutamol,Nausea,14,49,49,107,87,121,Occasional,Not Applicable,Sulfa,Iron Supplement,B+,7
Tuberculosis,Rifampicin,Dizziness,2,57,36,65,97,155,No,Yes,Penicillin,None,A-,7
PCOS,Letrozole,Sleepiness,11,52,46,95,94,157,No,Yes,Pollen,Multivitamin,B+,4
Heart Disease,Aspirin,Dizziness,6,71,32,108,89,160,Yes,Not Applicable,Dust,Calcium,A-,4
Hypertension,Amlodipine,Vomiting,10,51,31,67,84,153,Occasional,No,Sulfa,Vitamin D,B+,9
Flu,Oseltamivir,Constipation,2,52,32,69,97,136,Yes,Yes,Penicillin,Vitamin D,A+,10
Flu,Paracetamol,Headache,8,58,37,67,93,147,Yes,No,Sulfa,Iron Supplement,B+,5
Malaria,Chloroquine,Rash,1,70,37,112,97,126,Yes,Not Applicable,Sulfa,None,O+,7
Malaria,Chloroquine,Rash,9,47,46,93,98,121,Yes,Yes,Dust,Multivitamin,AB+,6
Kidney Disease,Calcitriol,Constipation,10,70,50,93,96,161,No,Not Applicable,Penicillin,Iron Supplement,O+,4
Tuberculosis,Isoniazid,Nausea,3,73,42,100,92,147,Occasional,Yes,Penicillin,Calcium,A+,8
Thyroid Disorder,Propylthiouracil,Headache,11,74,41,97,81,163,Yes,No,Sulfa,Iron Supplement,AB-,9
Flu,Oseltamivir,Nausea,10,79,50,77,88,141,Yes,No,Penicillin,Calcium,O+,7
Malaria,Chloroquine,Constipation,12,79,44,79,96,158,Occasional,Not Applicable,Dust,Vitamin D,AB-,4
Arthritis,Methotrexate,Sleepiness,6,72,40,111,91,167,No,Yes,Dust,Vitamin D,A-,6
Cancer,Paclitaxel,Rash,11,50,36,120,90,142,Yes,Yes,Penicillin,Vitamin D,AB-,4
Arthritis,Ibuprofen,Fatigue,13,60,50,72,89,141,Occasional,No,Peanuts,Calcium,B-,6
Cancer,Cisplatin,Nausea,15,71,47,67,83,164,Yes,Not Applicable,None,None,AB-,4
Typhoid,Azithromycin,Dry Mouth,16,49,46,114,84,133,Yes,Not Applicable,Sulfa,Iron Supplement,B+,8
Cancer,Cisplatin,Sleepiness,12,72,40,111,80,145,No,No,Penicillin,Vitamin D,O-,4
Malaria,Primaquine,Diarrhea,18,67,39,89,88,155,Occasional,Not Applicable,None,None,O-,7
Anxiety,Buspirone,Dizziness,7,78,30,89,98,175,No,Not Applicable,Dust,Iron Supplement,A+,4
Arthritis,Ibuprofen,Dizziness,16,73,34,81,87,125,Yes,Not Applicable,Penicillin,Iron Supplement,AB-,8
Thyroid Disorder,Levothyroxine,Sleepiness,6,79,41,92,99,152,Yes,Not Applicable,Pollen,None,B-,6
Hypertension,Amlodipine,Rash,8,46,30,110,82,179,Yes,No,Sulfa,Multivitamin,AB+,8
Diabetes,Insulin,Fatigue,10,80,49,108,81,169,Yes,No,Penicillin,Multivitamin,AB+,9
Migraine,Topiramate,Sleepiness,10,63,35,113,97,122,No,Yes,Penicillin,None,AB-,9
Heart Disease,Clopidogrel,Dry Mouth,7,85,48,93,84,139,Yes,No,None,Multivitamin,O+,7
COVID-19,Favipiravir,Fatigue,8,84,42,74,100,180,No,No,Pollen,Iron Supplement,A+,9
Arthritis,Diclofenac,Fatigue,8,81,38,63,85,179,No,Not Applicable,Dust,Iron Supplement,B+,8
Allergy,Loratadine,Constipation,3,72,47,65,97,165,No,Not Applicable,Peanuts,Calcium,A+,5
Malaria,Primaquine,Nausea,11,74,47,65,87,120,Yes,Yes,Sulfa,Iron Supplement,B-,5
Malaria,Primaquine,Sleepiness,15,49,42,83,83,160,No,Not Applicable,Dust,Vitamin D,O-,7
Obesity,Orlistat,Diarrhea,14,42,38,86,92,177,No,No,Peanuts,Calcium,A+,4
Arthritis,Methotrexate,Constipation,7,66,30,95,98,170,Occasional,Not Applicable,Penicillin,None,B+,5
Diabetes,Insulin,Fatigue,9,78,34,91,85,138,No,No,Penicillin,None,O-,10
Hypertension,Amlodipine,Diarrhea,3,41,38,62,86,120,No,No,Pollen,Calcium,AB-,6
Allergy,Loratadine,Diarrhea,10,53,45,117,90,133,Yes,Yes,Sulfa,Calcium,A+,9
Migraine,Topiramate,Dry Mouth,1,53,47,93,91,160,Occasional,No,Dust,Calcium,A+,5
Depression,Fluoxetine,Constipation,11,89,45,102,92,170,Yes,No,Sulfa,Iron Supplement,O+,9
Arthritis,Ibuprofen,Sleepiness,7,64,40,76,94,141,No,Not Applicable,Sulfa,Multivitamin,AB+,4
PCOS,Clomiphene,Headache,7,64,47,63,94,144,Occasional,Not Applicable,Pollen,Iron Supplement,AB-,5
Arthritis,Ibuprofen,Vomiting,6,48,37,91,93,131,Yes,No,Penicillin,Vitamin D,AB+,6
Asthma,Budesonide,Fatigue,12,48,35,81,81,132,Yes,Yes,Sulfa,Iron Supplement,AB+,5
Typhoid,Cefixime,Diarrhea,4,83,40,110,87,180,Occasional,No,Sulfa,Iron Supplement,O-,6
Asthma,Montelukast,Headache,2,41,31,62,88,177,Yes,Not Applicable,None,None,AB-,10
Arthritis,Methotrexate,Sleepiness,16,52,43,61,94,138,Occasional,No,Penicillin,Vitamin D,B+,4
Thyroid Disorder,Carbimazole,Constipation,16,71,37,87,92,160,Yes,Not Applicable,Sulfa,Vitamin D,AB-,5
Arthritis,Methotrexate,Sleepiness,18,73,36,85,95,176,No,Not Applicable,Peanuts,Calcium,A-,10
PCOS,Letrozole,Dizziness,10,55,31,78,99,129,Yes,Yes,Peanuts,Vitamin D,B+,6
Thyroid Disorder,Propylthiouracil,Rash,6,87,30,101,98,161,Occasional,Yes,Sulfa,None,AB+,10
Cancer,Imatinib,Rash,17,79,48,108,82,159,Occasional,Not Applicable,Pollen,Iron Supplement,O+,7
Depression,Sertraline,Headache,11,57,47,91,90,135,Occasional,Yes,None,Iron Supplement,O+,7
Tuberculosis,Isoniazid,Headache,7,53,48,86,87,145,Yes,Not Applicable,Dust,None,AB+,9
Liver Disease,Ursodeoxycholic Acid,Dizziness,17,62,49,115,86,148,No,Yes,None,None,AB+,7
Liver Disease,Rifaximin,Nausea,4,51,44,78,88,180,Yes,Not Applicable,None,Vitamin D,AB-,8
Kidney Disease,Erythropoietin,Headache,3,74,41,119,90,166,No,Not Applicable,Dust,Calcium,O-,7
Thyroid Disorder,Levothyroxine,Fatigue,17,58,45,76,97,128,Yes,Yes,Peanuts,Calcium,AB-,6
Obesity,Orlistat,Fatigue,15,63,47,85,89,150,No,Not Applicable,Penicillin,Calcium,AB-,8
Diabetes,Insulin,Vomiting,6,59,36,120,99,122,Yes,Not Applicable,Dust,Iron Supplement,O-,7
Thyroid Disorder,Carbimazole,Fatigue,7,83,39,96,84,173,Occasional,Not Applicable,Sulfa,None,O+,10
Depression,Sertraline,Dizziness,7,53,32,100,82,154,No,Yes,Pollen,Multivitamin,B-,10
PCOS,Metformin,Nausea,9,65,47,94,94,134,Occasional,Not Applicable,None,Multivitamin,B+,4
Diabetes,Insulin,Dizziness,6,54,49,109,82,175,Yes,No,Dust,None,B+,4
